3,4,178,51,77,249,185,9,174,1793,404,1065,0.4516
6,2,383,308,176,506,41,247,443,500,1700,1276,0.542
4,1,285,105,351,443,124,269,493,772,682,1333,0.634
4,1,82,162,138,506,139,391,258,1836,1522,1117,0.6307
6,2,332,334,150,351,490,138,101,103,1825,1205,0.4884
5,2,219,510,497,103,33,86,2028,1241,850,410,0.5908
3,4,217,61,292,184,352,311,1971,634,526,1178,0.5642
6,3,27,190,268,302,58,143,1302,1052,1779,790,0.5491
4,2,474,103,264,160,291,111,246,1956,1925,1989,0.5666
3,4,192,54,380,79,278,415,611,1296,325,991,0.5262
4,4,354,338,395,424,504,191,1159,1079,69,1245,0.5468
3,2,225,484,437,210,481,196,1102,1358,1388,339,0.6489
5,3,400,210,474,168,111,170,1594,754,1871,1043,0.5533
6,1,314,9,248,43,63,101,1189,1907,611,1254,0.4883
4,2,39,107,328,262,379,474,1988,272,846,1460,0.6347
3,4,403,509,409,313,79,314,119,2003,706,1761,0.5491
5,3,274,191,310,208,193,259,2036,1767,1538,1854,0.5991
5,3,432,277,342,206,327,193,1794,1593,2038,149,0.6143
3,1,325,388,112,280,269,422,1351,2043,510,1281,0.6225
5,1,322,430,321,363,429,179,681,1298,433,804,0.6362
5,2,225,52,421,297,505,178,143,1933,717,1938,0.5421
6,2,486,198,32,150,144,337,621,1807,1724,1129,0.5399
6,2,335,367,247,233,466,140,838,1853,350,663,0.5706
6,1,339,55,252,176,474,264,564,1182,994,1612,0.5809
6,1,222,136,84,13,355,257,196,558,967,132,0.5096
4,1,194,90,351,277,399,95,1511,1202,1772,1692,0.6518
6,2,123,10,454,362,21,347,1135,189,281,1493,0.5186
6,1,437,414,314,266,403,49,405,1552,2004,1932,0.5536
6,2,43,78,88,493,479,343,408,1549,1955,226,0.562
3,1,175,300,37,292,442,166,521,204,934,1875,0.5527
5,1,472,295,490,136,230,380,1441,277,1840,621,0.6299
3,4,83,444,428,261,439,397,645,882,222,1657,0.5534
5,4,46,132,405,237,208,24,632,1672,1503,912,0.5314
4,3,309,164,316,42,303,204,956,452,764,1247,0.5562
5,4,359,429,499,225,211,149,598,115,1705,577,0.4952
3,3,493,218,400,281,42,292,1986,971,1300,1766,0.6267
4,3,341,492,476,127,204,121,964,1648,696,463,0.6241
4,2,91,99,461,365,493,82,1620,763,1963,471,0.6507
5,4,162,49,308,168,485,405,731,1609,438,879,0.5168
6,4,104,190,158,361,103,512,84,289,1128,278,0.3376
6,1,182,442,261,190,284,87,1292,920,144,691,0.5759
5,4,118,223,364,111,414,194,1639,877,1901,508,0.5327
3,3,473,162,74,375,202,335,1703,786,528,749,0.5516
3,2,299,332,277,342,512,241,391,1225,193,1637,0.5981
3,4,133,498,375,205,205,469,715,509,1678,1699,0.5851
6,1,185,161,427,347,142,50,989,646,983,1347,0.574
4,4,471,8,198,506,281,380,1371,195,1461,824,0.5287
5,4,322,343,168,91,395,247,191,1782,15,711,0.2886
6,2,13,27,331,465,135,218,421,229,1808,1102,0.5328
3,2,327,483,363,35,244,285,1418,259,1452,409,0.646
4,3,199,47,45,11,164,117,1679,79,1325,61,0.4612
6,1,460,378,67,168,37,429,1620,1476,1507,1416,0.5821
4,1,341,201,92,288,104,442,1326,256,1305,870,0.6478
5,1,443,232,338,135,208,423,1606,299,265,1599,0.6134
3,3,421,399,357,307,316,510,1529,1915,1067,489,0.627
5,1,401,402,89,427,132,457,819,2038,761,1558,0.5712
5,4,473,101,421,266,77,487,1073,243,893,1144,0.4849
6,1,251,261,460,417,217,108,1730,2011,91,1038,0.6131
5,3,10,130,413,459,290,104,128,474,2015,791,0.5038
5,2,190,162,99,159,445,347,651,895,1445,1278,0.5485
4,2,395,75,153,408,240,453,188,1969,1837,492,0.585
3,1,376,396,64,54,83,357,1038,261,785,1380,0.5961
5,2,457,263,436,280,160,396,567,55,1508,1698,0.528
6,4,291,336,425,445,402,222,402,826,1223,254,0.5067
3,2,77,91,252,433,218,339,670,873,107,322,0.5981
3,3,331,417,147,374,281,349,1914,168,1249,1374,0.573
3,1,239,221,414,454,89,98,632,1453,1897,1882,0.638
3,2,481,436,297,342,53,16,1416,960,466,744,0.6421
3,1,48,313,275,447,193,408,1760,1821,371,1771,0.6365
6,2,287,154,450,139,240,241,98,616,1356,1524,0.5142
5,2,453,500,168,77,222,396,1619,393,1198,343,0.5691
5,3,228,497,222,301,363,82,1504,691,488,1715,0.5425
5,3,499,16,35,238,105,507,1069,661,981,1872,0.4733
5,2,217,230,353,497,364,463,541,1591,666,1322,0.6017
6,1,62,329,287,221,177,435,951,487,1708,1803,0.6071
5,4,127,211,474,441,21,402,1597,726,736,471,0.4732
4,1,201,63,238,437,448,28,616,32,942,944,0.6419
3,3,123,316,153,466,236,50,1754,495,371,509,0.5601
3,4,161,439,176,182,342,163,1253,1426,1600,413,0.5887
5,4,155,257,185,416,474,329,1335,1470,625,1604,0.57
6,3,77,477,18,76,396,511,1123,198,1779,530,0.4938
5,3,473,333,504,90,504,503,171,647,1442,761,0.5324
5,3,444,306,452,351,78,497,1799,803,1842,489,0.5626
5,1,184,81,351,331,279,338,1750,652,1873,1222,0.6232
5,1,221,94,345,153,359,420,593,1072,2027,1580,0.5928
4,3,184,111,328,180,501,382,1298,854,1260,123,0.61
3,2,212,123,430,44,259,217,132,1102,319,1667,0.5518
4,3,510,53,416,189,401,344,386,20,1697,119,0.4859
6,4,502,354,286,175,439,483,1147,370,1915,1133,0.5405
3,4,191,301,466,201,208,72,56,169,757,271,0.3071
3,3,253,134,93,338,343,199,1501,917,969,1838,0.5609
6,4,237,16,454,386,65,254,1714,1017,841,1019,0.5271
4,3,157,35,66,499,416,435,753,1862,468,1698,0.5831
5,2,431,488,12,423,290,379,635,682,1033,1065,0.5159
3,4,269,460,119,404,452,173,78,377,1090,1185,0.3718
5,2,41,155,178,86,27,482,344,315,1616,1377,0.458
6,2,318,140,249,268,405,252,852,1698,926,859,0.5787
5,2,468,442,295,139,313,380,1593,878,33,1380,0.6104
5,4,380,28,100,136,85,129,1122,2003,200,224,0.4391
3,4,373,228,76,299,44,286,216,355,865,150,0.4662
5,4,172,395,104,487,107,414,1092,431,412,1221,0.4866
3,3,276,355,51,250,17,458,650,821,1646,1834,0.5416
4,2,481,475,482,314,15,400,1719,1027,874,1241,0.6646
5,3,357,320,224,226,496,115,1535,1210,1985,819,0.5887
6,3,201,365,166,427,395,381,1224,782,1949,2034,0.597
3,2,8,159,152,355,238,164,1130,1125,771,1070,0.5897
3,3,422,297,151,252,122,488,1505,270,491,1873,0.5678
5,2,55,463,372,473,398,417,1536,861,1537,669,0.6324
6,4,24,47,61,489,127,452,338,1573,1831,1271,0.5142
3,3,443,110,70,209,374,488,853,1077,274,939,0.5152
3,4,307,226,293,258,139,129,422,1521,1693,267,0.5673
4,2,480,403,173,501,140,99,1663,440,1457,1657,0.6448
6,2,394,40,62,223,307,473,376,656,1509,962,0.5287
5,2,403,273,26,485,50,500,24,1216,1626,1641,0.3916
3,1,377,119,320,131,468,350,496,369,1413,1316,0.6134
5,3,72,435,505,401,9,97,870,1902,149,1914,0.4847
3,4,90,494,288,133,419,300,1141,1812,558,537,0.5539
3,1,159,446,304,332,418,486,773,427,1200,2029,0.6295
4,4,303,290,89,378,375,151,1750,1464,556,359,0.5514
6,2,502,345,218,273,33,501,248,807,700,1725,0.5498
3,2,208,216,130,298,460,404,1303,693,1859,1826,0.6081
6,2,361,175,113,300,147,274,906,520,1631,1816,0.5545
5,2,210,401,74,121,121,124,406,1902,918,1654,0.5202
5,4,311,340,408,502,117,126,790,164,785,1182,0.4993
4,1,83,432,475,410,224,319,65,2000,69,973,0.6118
6,3,211,430,433,116,43,413,1845,1456,1269,1198,0.5935
5,4,463,469,87,493,233,198,140,1461,537,182,0.434
6,2,155,120,184,472,321,155,1571,554,1861,2041,0.5835
3,2,54,35,172,212,415,63,1381,1489,1941,432,0.5894
6,1,237,221,172,69,272,168,295,166,158,1081,0.546
6,2,55,273,74,308,307,359,89,1056,1990,1578,0.5019
4,3,96,159,473,413,335,106,392,1033,1724,1857,0.6244
5,2,178,439,199,302,165,81,898,489,111,349,0.5708
5,3,59,455,474,486,363,238,702,361,430,1105,0.5612
6,3,483,508,14,378,222,511,1276,1869,603,381,0.5419
4,1,134,98,149,200,199,383,1844,1767,1866,1594,0.6477
5,1,15,284,63,212,94,178,2016,96,1351,1319,0.5464
5,1,308,244,496,122,398,325,755,1506,715,1503,0.6188
5,2,85,421,140,413,298,181,1685,855,754,106,0.6167
5,4,332,478,85,186,366,213,1792,1470,2025,1877,0.5652
6,3,430,171,57,241,359,479,1699,1388,1290,538,0.5586
5,4,409,301,376,138,289,13,1882,830,1163,897,0.5619
4,2,269,264,52,38,112,455,1354,1510,1963,993,0.5841
4,4,238,222,105,103,216,122,872,1656,1131,1697,0.5773
5,3,235,138,343,380,413,316,274,1636,971,822,0.5626
4,4,308,77,9,491,111,29,1610,880,937,887,0.5229
4,2,240,171,234,141,39,137,404,793,894,452,0.579
6,4,198,170,259,120,490,509,456,553,650,1679,0.4866
4,2,135,444,298,30,282,145,1836,776,606,301,0.6031
6,4,401,337,228,279,433,438,1672,37,326,137,0.3067
6,2,150,413,504,205,341,202,1949,1124,1078,1671,0.62
3,2,17,146,414,382,103,392,488,760,385,234,0.5857
4,4,288,259,333,419,174,88,646,244,970,282,0.5472
5,3,281,75,469,76,511,332,326,184,371,825,0.4959
4,2,83,399,467,480,95,14,1586,1274,116,290,0.6614
6,2,397,483,456,234,409,243,756,127,729,1579,0.5635
4,1,273,495,170,225,209,335,1058,1249,262,1198,0.6642
5,4,133,387,121,29,485,355,390,2018,1545,1003,0.4834
5,2,126,110,322,304,452,308,712,1204,1969,1432,0.5889
5,3,353,135,317,386,190,469,1579,739,1893,498,0.5829
3,2,467,84,149,386,219,405,1001,575,1679,610,0.5816
6,1,43,491,477,228,402,386,1272,1982,707,1388,0.6498
4,2,72,502,35,408,116,86,1343,1485,1700,412,0.6124
4,3,417,66,347,352,405,224,63,1079,632,1054,0.5258
5,4,259,283,9,395,133,226,1286,1284,327,1216,0.4679
3,2,352,398,206,505,498,512,224,429,1281,1563,0.5595
4,3,141,307,224,249,186,64,1655,498,1254,130,0.6278
5,3,34,402,184,239,111,242,392,1483,574,524,0.5113
4,1,254,42,509,114,252,412,1667,352,1701,2027,0.6272
3,2,139,298,343,494,495,24,2005,1595,1458,1485,0.6526
6,2,335,294,380,291,322,348,889,1457,933,876,0.6136
4,2,398,320,442,292,55,34,261,201,1600,1820,0.6053
3,1,266,201,424,481,69,421,1887,160,219,666,0.6439
6,1,366,307,417,36,31,196,1640,1970,180,728,0.5884
4,4,305,144,208,340,444,472,1202,1680,889,1966,0.5991
4,2,196,100,318,202,315,424,564,593,897,1548,0.6119
5,2,215,61,344,129,304,12,667,1005,1706,13,0.5659
4,3,185,53,207,494,166,512,1904,1876,1882,1697,0.646
4,2,207,425,407,138,461,381,323,766,170,1993,0.5921
4,4,168,8,64,450,169,234,834,1526,1979,643,0.5431
5,2,39,383,59,77,375,405,985,2023,418,1501,0.5357
4,1,362,41,223,135,99,202,407,1663,1542,383,0.5861
4,1,508,114,341,490,365,344,1438,797,212,548,0.6716
4,1,344,25,263,511,363,422,518,1363,1138,1572,0.6279
4,3,180,507,225,184,268,68,728,1975,120,680,0.6119
5,3,391,511,438,510,150,35,56,1097,1220,492,0.4875
6,2,272,344,120,27,252,177,1972,521,460,820,0.5522
3,4,91,250,34,131,300,162,1051,1002,1877,1345,0.5291
6,4,415,347,318,102,475,193,446,686,910,801,0.4646
5,4,292,401,295,508,409,327,328,2023,2006,68,0.5354
5,3,116,80,311,490,246,151,391,1720,566,642,0.5483
5,3,182,487,377,82,30,361,1591,1326,1702,2043,0.5324
5,4,373,469,214,21,178,498,1006,19,1377,108,0.3934
3,1,504,443,207,133,35,165,336,389,1764,1430,0.6072
5,1,79,17,349,263,398,341,1526,458,17,332,0.611
3,2,466,210,324,244,169,400,1711,913,1312,1235,0.626
6,2,422,14,224,509,500,377,109,7,299,2019,0.2643
3,1,159,377,8,313,45,37,128,755,153,463,0.4632
6,1,386,438,385,435,50,110,1571,516,354,65,0.5981
4,2,236,310,426,226,441,488,756,1105,855,76,0.6355
6,4,51,267,98,445,320,489,771,1279,1948,1911,0.5425
6,2,278,149,322,139,97,195,162,960,1146,1852,0.5015
5,2,396,332,388,389,49,271,419,1097,1780,632,0.5241
3,1,361,359,60,181,129,250,1635,1903,1302,581,0.5951
4,1,62,335,496,415,75,196,1429,1679,852,286,0.6732
4,2,13,218,295,303,309,39,66,1658,1496,443,0.5441
6,4,267,222,491,371,409,408,983,862,209,515,0.5048
4,1,176,43,507,186,252,198,1890,229,1103,1414,0.6555
5,2,407,379,331,377,8,344,1061,1380,1784,197,0.5167
5,2,478,205,212,443,444,410,1539,489,1636,1512,0.5959
5,3,122,170,302,126,149,17,169,768,271,1232,0.4685
4,4,502,409,437,28,152,150,1884,1726,1965,1510,0.598
6,3,384,61,259,307,295,408,24,1943,1410,687,0.4325
6,4,32,419,481,69,372,354,831,213,1321,1243,0.5337
5,2,467,242,387,329,267,174,907,1973,700,189,0.6145
3,2,21,382,63,60,48,34,1598,72,1253,1019,0.5443
4,1,105,73,408,308,375,438,257,403,1442,636,0.6217
5,4,396,427,347,490,229,341,514,1265,1064,417,0.5214
5,1,63,366,54,252,19,207,557,1206,1286,992,0.4782
6,1,173,437,374,234,488,308,1041,1135,1372,652,0.6346
6,1,453,397,56,432,186,156,642,783,278,1183,0.5655
6,1,152,68,159,227,129,410,642,1283,719,1681,0.5783
5,1,121,163,22,455,287,192,520,275,1838,917,0.5609
4,3,89,383,206,14,250,359,1182,45,179,1361,0.4647
5,2,423,499,193,474,270,490,1907,1505,1615,1138,0.6311
5,4,143,443,401,175,429,220,857,1257,2017,1823,0.5805
6,1,308,235,510,74,152,429,1445,1725,1320,1482,0.6163
4,4,53,196,227,206,115,408,150,1018,1160,242,0.5096
4,2,228,87,328,228,251,440,515,1552,96,933,0.6019
6,2,496,251,478,295,368,117,1006,1058,1310,1189,0.5738
4,1,103,51,409,12,231,171,1690,39,1776,1453,0.5604
3,1,146,88,291,142,141,483,1169,1241,647,1623,0.621
3,3,158,454,390,509,405,315,349,1116,220,95,0.5715
3,3,382,455,170,262,410,449,1507,1608,716,76,0.6099
3,3,389,208,454,73,287,296,32,1625,1620,1380,0.4464
5,3,287,189,102,97,367,468,746,1279,1694,1133,0.5431
4,1,128,244,321,317,186,8,1574,631,932,818,0.6728
3,3,41,202,100,42,118,192,1415,895,1416,712,0.58
6,1,20,387,63,342,396,322,1505,690,1879,252,0.5867
6,2,232,420,508,349,383,453,716,1809,260,1682,0.6159
3,2,361,473,345,23,27,239,791,59,1386,548,0.6006
5,1,271,51,270,273,393,219,1915,118,167,248,0.6064
5,2,207,168,197,356,329,434,74,764,1793,1155,0.5056
4,3,127,89,148,468,75,143,1672,952,1376,828,0.61
4,2,265,122,168,470,471,483,1366,1157,1726,2014,0.6509
5,1,128,134,465,347,289,212,274,1368,1226,2007,0.5777
3,2,258,278,392,338,499,450,2016,286,2020,871,0.6396
4,4,405,357,432,201,261,145,1407,840,1094,629,0.5958
4,2,412,213,161,400,254,292,1897,1951,1078,849,0.6587
6,3,339,282,495,415,219,110,420,987,1789,1696,0.5375
4,4,286,180,332,479,385,263,934,1580,595,1938,0.6086
3,1,241,364,29,349,475,501,1359,316,573,1864,0.5703
5,3,432,242,154,250,264,385,1056,479,1339,1907,0.5429
5,4,127,124,339,115,202,187,499,451,1425,1969,0.51
3,4,147,181,109,252,331,329,331,1544,1047,905,0.531
6,1,113,203,181,439,309,186,753,821,1460,353,0.5911
4,4,252,222,18,220,209,304,1534,1085,501,1119,0.5372
5,3,205,214,91,198,45,103,592,800,439,1683,0.4718
3,3,382,197,100,390,186,333,879,1836,1254,1110,0.5771
5,4,187,305,492,144,166,482,1198,1051,860,1745,0.5392
5,1,20,337,240,425,488,257,146,1599,218,1029,0.5676
4,1,286,482,372,364,401,164,7,1613,1843,887,0.1
5,1,119,373,247,9,312,448,747,1860,1504,740,0.5709
5,3,170,65,308,185,108,85,1233,1133,1641,1265,0.5493
6,1,88,15,262,350,348,90,531,1278,1413,474,0.542
5,1,62,130,83,160,413,410,653,65,895,1358,0.5772
6,2,317,492,504,336,325,271,2040,1877,1832,728,0.6314
5,2,46,398,72,383,419,396,1495,847,533,248,0.5859
5,4,112,222,23,418,165,350,1321,1950,326,1626,0.4904
3,2,22,210,29,410,206,72,1454,716,85,79,0.5149
3,3,239,387,364,431,350,86,419,1024,1355,1342,0.5859
5,3,344,393,404,462,166,141,1623,613,581,670,0.5567
6,2,312,112,132,37,168,201,977,1103,1615,1498,0.5194
5,1,293,208,231,146,348,151,829,736,503,1418,0.6054
4,3,201,433,63,261,352,102,26,551,866,49,0.3789
5,2,14,319,53,195,459,94,602,1857,715,1784,0.557
5,3,345,45,204,484,90,304,1043,2043,343,747,0.5226
3,4,476,251,262,282,432,44,40,1412,2008,939,0.4217
3,2,205,478,450,84,174,220,990,405,1396,1562,0.6511
5,2,387,408,389,340,194,200,1677,624,785,1977,0.6074
4,2,392,85,131,313,193,405,69,1913,207,1575,0.5336
6,2,391,146,251,330,107,125,829,1056,378,516,0.5506
6,3,394,399,489,241,174,16,1722,202,748,1422,0.4927
3,1,230,33,131,246,39,52,1058,703,1979,1286,0.5808
4,3,358,217,511,356,487,386,1140,466,226,742,0.6159
6,1,184,47,130,216,306,498,1862,358,905,358,0.6091
5,3,509,456,263,36,75,480,973,297,1697,1345,0.4924
5,4,202,256,37,199,338,422,1091,1964,933,1966,0.5065
6,1,141,202,23,491,447,28,1796,1436,638,1755,0.5256
5,2,430,451,315,89,220,45,1386,1534,1043,1966,0.5828
5,1,238,11,470,415,384,381,800,438,1956,128,0.5846
3,3,387,192,379,229,184,443,1801,713,1258,1356,0.6172
4,1,324,346,289,95,349,318,1639,363,891,1815,0.652
4,1,114,383,296,438,447,48,1664,931,1822,1495,0.6744